iso2c,year,finstress_mean,finstress_var,finstress_sd,finstress_var_lead1yr,finstress_sd_lead1yr,finstress_var_lag1yr,finstress_sd_lag1yr,finstress_mean_lead1yr,finstress_mean_lag1yr,country,gdp_growth,exchange_rate_usd,stock_price_volatility,stock_returns,iso3c,region,capital,longitude,latitude,income,lending,Equity,EquityR5,EquityH5,EquityR,EquityH,ImpLoans,ImpLoansR5,ImpLoansH5,ImpLoansR,ImpLoansH,Costs,CostsR5,CostsH5,CostsR,CostsH,ROAA,ROAAR5,ROAAH5,ROAAR,ROAAH,NetLoans,NetLoansR5,NetLoansH5,NetLoansR,NetLoansH,Z,NCO,Liquid,log_imploans,lv_bank_crisis,lv_lead1yr
AE,2003,0.576527709486425,6.99967270518276,0.0836640466698973,7.43378258974446,0.0862193863916026,,,0.583101532876799,,United Arab Emirates,8.80054081702856,3.6725,,16.13588,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE,2004,0.583101532876799,7.43378258974446,0.0862193863916026,7.03008646902865,0.0838456109109395,6.99967270518276,0.0836640466698973,0.494366495733781,0.576527709486425,United Arab Emirates,9.56643664256454,3.6725,11.59169,37.8627,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE,2005,0.494366495733781,7.03008646902865,0.0838456109109395,9.16636280241382,0.0957411238831769,7.43378258974446,0.0862193863916026,0.430516305445728,0.583101532876799,United Arab Emirates,4.8551411953047,3.6725,21.25167,133.7302,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE,2006,0.430516305445728,9.16636280241382,0.0957411238831769,7.75025298661405,0.0880355211639827,7.03008646902865,0.0838456109109395,0.303257520905923,0.494366495733781,United Arab Emirates,9.8373197726593,3.6725,30.03882,-24.98076,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE,2007,0.303257520905923,7.75025298661405,0.0880355211639827,24.4024509725901,0.156212838693208,9.16636280241382,0.0957411238831769,0.443130173146899,0.430516305445728,United Arab Emirates,3.18439017418304,3.6725,21.68071,-7.325856,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE,2008,0.443130173146899,24.4024509725901,0.156212838693208,2.21058351754714,0.0470168429134405,7.75025298661405,0.0880355211639827,0.681099903163081,0.303257520905923,United Arab Emirates,3.1918362705963,3.6725,20.07619,24.51312,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE,2009,0.681099903163081,2.21058351754714,0.0470168429134405,2.41763763862458,0.0491694787304541,24.4024509725901,0.156212838693208,0.653618625438623,0.443130173146899,United Arab Emirates,-5.24292190590633,3.6725,28.8274,-38.24649,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE,2010,0.653618625438623,2.41763763862458,0.0491694787304541,0.633683759691475,0.0251730760871904,2.21058351754714,0.0470168429134405,0.726825439430446,0.681099903163081,United Arab Emirates,1.63544905517254,3.6725,22.9296,-0.1145342,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE,2011,0.726825439430446,0.633683759691475,0.0251730760871904,,,2.41763763862458,0.0491694787304541,,0.653618625438623,United Arab Emirates,5.2077989108447,3.6725,12.45223,-3.112477,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,2003,0.811760628557907,1.0722858164546,0.0327457755512769,0.96996832850228,0.0311443145453914,,,0.85276438843178,,Afghanistan,8.44416322679218,48.7627535833333,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,2004,0.85276438843178,0.96996832850228,0.0311443145453914,0.247852124845512,0.0157433200070859,1.0722858164546,0.0327457755512769,0.870239624528761,0.811760628557907,Afghanistan,1.05555578746555,47.8453125,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,2005,0.870239624528761,0.247852124845512,0.0157433200070859,2.27403888031125,0.047686883734537,0.96996832850228,0.0311443145453914,0.904144354542715,0.85276438843178,Afghanistan,11.1752702416587,49.4945975,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,2006,0.904144354542715,2.27403888031125,0.047686883734537,0.519560004319971,0.0227938589168217,0.247852124845512,0.0157433200070859,0.850912471405455,0.870239624528761,Afghanistan,5.55413762257501,49.9253308333333,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,2007,0.850912471405455,0.519560004319971,0.0227938589168217,0.0562778430646248,0.00750185597466552,2.27403888031125,0.047686883734537,0.89425351274042,0.904144354542715,Afghanistan,13.7402049898513,49.9620177703972,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,2008,0.89425351274042,0.0562778430646248,0.00750185597466552,1.19046917597623,0.0345031763172064,0.519560004319971,0.0227938589168217,0.837681122463092,0.850912471405455,Afghanistan,3.61136839226168,50.2496147435897,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
